Acronym,fine-tuned-CNN,AverageDT,ConsensusNB
mdm,1.0,1.0,0.9951000000000001
ssa,0.9973045822102425,0.9569,0.9515
cbn,0.985981308411215,0.9346,0.9626
aca,0.9822695035460993,0.9787,0.9716
stu,0.9821428571428571,0.9464,0.9509000000000001
prd,0.98,0.96,0.915
hsa,0.9734183944710261,0.9708,0.8612000000000001
mdo,0.9717391304347827,0.9348000000000001,0.9152
ipu,0.9715302491103203,0.9537,0.9217
aly,0.9707317073170731,1.0,0.9951000000000001
dre,0.9653179190751445,0.9335,0.9422
sbi,0.9609756097560975,0.9854,0.9706999999999999
ppc,0.9463276836158192,0.8955,0.8983
gma,0.9424083769633508,0.9511,0.9476
rno,0.9393939393939394,0.9434,0.9354
ppt,0.9388646288209607,0.9651000000000001,0.9562999999999999
ptc,0.9375,0.9545,0.929
cel,0.932,0.9,0.892
ath,0.9290123456790124,0.929,0.9383
dme,0.92578125,0.8906000000000001,0.8711
ptr,0.9206106870229007,0.9267,0.8824
dps,0.919047619047619,0.8714,0.8905
chi,0.9138576779026217,0.9551000000000001,0.9101
ppy,0.9080996884735203,0.8956000000000001,0.866
mml,0.9079159935379645,0.9176000000000001,0.8885
pma,0.9057377049180327,0.8934000000000001,0.9139
ggo,0.9034090909090909,0.9545,0.9063
gra,0.9033457249070632,0.9851000000000001,0.948
cgr,0.9,0.93,0.925
cfa,0.8868686868686869,0.903,0.8909
osa,0.8868243243243243,0.8649,0.8649
bdi,0.886435331230284,0.9274,0.9179999999999999
oan,0.8863636363636364,0.8939,0.8534999999999999
mmu,0.8792958927074602,0.8281999999999999,0.8223
bta,0.8589108910891089,0.8168000000000001,0.8045
mtr,0.8567164179104477,0.8626999999999999,0.8448
cin,0.8563218390804598,0.8592,0.8103
efu,0.850597609561753,0.8725,0.8068000000000001
ssc,0.8298429319371727,0.8062999999999999,0.7801
gga,0.8297297297297297,0.7959,0.7743000000000001
tca,0.8227272727272728,0.8136,0.8136
eca,0.820979020979021,0.8726999999999999,0.835
ame,0.7952755905511811,0.7323000000000001,0.752
tgu,0.7773279352226721,0.9595,0.9270999999999999
bmo,0.6262833675564682,0.5236,0.5440999999999999
